106,249,20
126,249,20
102,249,20
122,249,20
118,249,20
100,249,20
96,249,20
116,249,20
112,249,20
94,249,20
90,249,20
110,249,20
106,249,20
88,249,20
84,249,20
104,249,20
100,249,20
82,249,20
78,249,20
98,249,20
94,249,20
76,249,20
72,249,20
92,249,20
88,249,20
70,249,20
66,249,20
86,249,20
82,249,20
64,249,20
60,249,20
80,249,20
76,249,20
58,249,20
54,249,20
74,249,20
70,249,20
52,249,20
48,249,20
68,249,20
64,249,20
46,249,20
42,249,20
62,249,20
58,249,20
40,249,20
36,249,20
56,249,20
52,249,20
34,249,20
30,249,20
50,249,20
46,249,20
28,249,20
24,249,20
44,249,20
40,249,20
22,249,20
18,249,20
38,249,20
218,358,20
212,341,20
212,428,20
218,414,20
344,194,20
354,178,20
